Subfund_Code,Share_Class_Code,Valuation_Date,Subfund_CCY,Net_Asset_Value,Nb_Shares_Outstanding,NAV_Per_Share,CCY_NAV_share,ISIN_Code,Nb_Shares_Subscribed,Amount_Subscribed,Nb_Shares_Redeemed,Amount_Redeemed,Subfund_Long_Name,Dividend_Per_Share,Dividend_Payment_Date,Dividend_PCCY,Dividend_Payment_CCY,Dividend_Subfund_CCY,Total_Net_Assets
2,C,05/03/2018,USD,134529286.7,817618.342,194.1572,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,134529286.7
2,C,06/03/2018,USD,135209218.2,817618.342,195.1366,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,135209218.2
2,C,07/03/2018,USD,135427767.5,817618.342,195.4552,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,135427767.5
2,C,08/03/2018,USD,135840583.1,817618.342,196.0452,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,135840583.1
2,C,09/03/2018,USD,136528608.9,817618.342,197.0364,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,136528608.9
2,C,12/03/2018,USD,136868574.7,817618.342,197.532,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,136868574.7
2,C,13/03/2018,USD,136277681.9,817618.342,196.6824,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,136277681.9
2,C,14/03/2018,USD,136002471.5,817618.342,196.2812,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,136002471.5
2,C,15/03/2018,USD,176973694.4,1063422.407,196.3756,USD,LU1234DEMO2C,4277.3348,711814.7394,0,0,NA,0,0,0,0,USD,176973694.4
2,C,16/03/2018,USD,179169612.5,1075977.442,196.4936,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,179169612.5
2,C,19/03/2018,USD,178200264.6,1075977.454,195.4316,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,178200264.6
2,C,20/03/2018,USD,182139331.2,1097138.311,195.8918,USD,LU1234DEMO2C,8277.7,1377566.562,0,0,NA,0,0,0,0,USD,182139331.2
2,C,21/03/2018,USD,182108079.7,1096819.239,195.9154,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,182108079.7
2,C,22/03/2018,USD,181054804.1,1096819.239,194.7826,USD,LU1234DEMO2C,21160.8574,3504599.835,0,0,NA,0,0,0,0,USD,181054804.1
2,C,23/03/2018,USD,181697414.7,1110973.021,192.989,USD,LU1234DEMO2C,0,0,319.0602,52968.5598,NA,0,0,0,0,USD,181697414.7
2,C,26/03/2018,USD,182434323,1110973.021,193.7678,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,182434323
2,C,27/03/2018,USD,182423324.4,1110973.021,193.756,USD,LU1234DEMO2C,14153.7696,2336399.941,0,0,NA,0,0,0,0,USD,182423324.4
2,C,28/03/2018,USD,181391797.9,1110852.661,192.6822,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,181391797.9
2,C,29/03/2018,USD,211885011.5,1293282.159,193.3312,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,211885011.5
2,C,03/04/2018,USD,210924749.5,1293282.159,192.4462,USD,LU1234DEMO2C,182429.9706,29789099.55,120.3482,19761.9202,NA,0,0,0,0,USD,210924749.5
2,C,04/04/2018,USD,211052784.4,1293282.159,192.5642,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,211052784.4
2,C,05/04/2018,USD,212038653.4,1293282.159,193.461,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,212038653.4
2,C,06/04/2018,USD,211411282.2,1293282.159,192.8946,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,211411282.2
2,C,09/04/2018,USD,217752257.1,1329013.751,193.343,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,217752257.1
2,C,10/04/2018,USD,219120609.6,1329013.751,194.5466,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,219120609.6
2,C,11/04/2018,USD,218673263.6,1329013.751,194.1572,USD,LU1234DEMO2C,35731.5918,5840999.847,0,0,NA,0,0,0,0,USD,218673263.6
2,C,12/04/2018,USD,219317968.2,1329013.751,194.7236,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,219317968.2
2,C,13/04/2018,USD,235385890.8,1427923.404,194.5112,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,235385890.8
2,C,16/04/2018,USD,245031870.1,1488315.934,194.2752,USD,LU1234DEMO2C,0,0,0,0,NA,0,0,0,0,USD,245031870.1
2,C,17/04/2018,USD,250665650.1,1516698.368,195.0186,USD,LU1234DEMO2C,98909.6532,16322378.56,0,0,NA,0,0,0,0,USD,250665650.1
2,C,18/04/2018,USD,251641058.1,1516694.828,195.7738,USD,LU1234DEMO2C,60392.5298,9955400.129,0,0,NA,0,0,0,0,USD,251641058.1
2,C,19/04/2018,USD,251250581.7,1516694.356,195.4788,USD,LU1234DEMO2C,28382.4456,4672799.917,0,0,NA,0,0,0,0,USD,251250581.7
2,C,20/04/2018,USD,255357483.9,1544902.091,195.0422,USD,LU1234DEMO2C,0,0,3.54,585.0558,NA,0,0,0,0,USD,255357483.9
